RegionName,ParkName,ParkType,Year,TRV
Alaska Region,Glacier Bay NP & PRES,National Park,1907,
Alaska Region,Glacier Bay NP & PRES,National Park,1908,
Alaska Region,Glacier Bay NP & PRES,National Park,1909,
Alaska Region,Glacier Bay NP & PRES,National Park,1910,
Alaska Region,Glacier Bay NP & PRES,National Park,1911,
Alaska Region,Glacier Bay NP & PRES,National Park,1912,
Alaska Region,Glacier Bay NP & PRES,National Park,1913,
Alaska Region,Glacier Bay NP & PRES,National Park,1914,
Alaska Region,Glacier Bay NP & PRES,National Park,1915,
Alaska Region,Glacier Bay NP & PRES,National Park,1916,
Alaska Region,Glacier Bay NP & PRES,National Park,1917,
Alaska Region,Glacier Bay NP & PRES,National Park,1918,
Alaska Region,Glacier Bay NP & PRES,National Park,1919,
Alaska Region,Glacier Bay NP & PRES,National Park,1920,
Alaska Region,Glacier Bay NP & PRES,National Park,1921,
Alaska Region,Glacier Bay NP & PRES,National Park,1922,
Alaska Region,Glacier Bay NP & PRES,National Park,1923,
Alaska Region,Glacier Bay NP & PRES,National Park,1924,
Alaska Region,Glacier Bay NP & PRES,National Park,1925,
Alaska Region,Glacier Bay NP & PRES,National Park,1926,
Alaska Region,Glacier Bay NP & PRES,National Park,1927,
Alaska Region,Glacier Bay NP & PRES,National Park,1928,
Alaska Region,Glacier Bay NP & PRES,National Park,1929,
Alaska Region,Glacier Bay NP & PRES,National Park,1930,
Alaska Region,Glacier Bay NP & PRES,National Park,1931,
Alaska Region,Glacier Bay NP & PRES,National Park,1932,
Alaska Region,Glacier Bay NP & PRES,National Park,1933,
Alaska Region,Glacier Bay NP & PRES,National Park,1934,
Alaska Region,Glacier Bay NP & PRES,National Park,1935,
Alaska Region,Glacier Bay NP & PRES,National Park,1936,
Alaska Region,Glacier Bay NP & PRES,National Park,1937,
Alaska Region,Glacier Bay NP & PRES,National Park,1938,
Alaska Region,Glacier Bay NP & PRES,National Park,1939,
Alaska Region,Glacier Bay NP & PRES,National Park,1940,
Alaska Region,Glacier Bay NP & PRES,National Park,1941,
Alaska Region,Glacier Bay NP & PRES,National Park,1942,
Alaska Region,Glacier Bay NP & PRES,National Park,1943,
Alaska Region,Glacier Bay NP & PRES,National Park,1944,
Alaska Region,Glacier Bay NP & PRES,National Park,1945,
Alaska Region,Glacier Bay NP & PRES,National Park,1946,
Alaska Region,Glacier Bay NP & PRES,National Park,1947,
Alaska Region,Glacier Bay NP & PRES,National Park,1948,
Alaska Region,Glacier Bay NP & PRES,National Park,1949,
Alaska Region,Glacier Bay NP & PRES,National Park,1950,
Alaska Region,Glacier Bay NP & PRES,National Park,1951,
Alaska Region,Glacier Bay NP & PRES,National Park,1952,
Alaska Region,Glacier Bay NP & PRES,National Park,1953,
Alaska Region,Glacier Bay NP & PRES,National Park,1954,
Alaska Region,Glacier Bay NP & PRES,National Park,1955,
Alaska Region,Glacier Bay NP & PRES,National Park,1956,2200
Alaska Region,Glacier Bay NP & PRES,National Park,1957,3600
Alaska Region,Glacier Bay NP & PRES,National Park,1958,5100
Alaska Region,Glacier Bay NP & PRES,National Park,1959,1300
